"112年08月24日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","1.42","111","28.93","1.21","112/2",
"1102","亞泥","5.77","111","11.90","0.88","112/2",
"1103","嘉泥","2.69","111","37.96","0.53","112/2",
"1104","環泥","6.50","111","9.69","0.83","112/2",
"1108","幸福","4.95","111","9.50","1.36","112/2",
"1109","信大","4.42","111","9.10","0.80","112/2",
"1110","東泥","0.52","111","39.08","1.24","112/2",
"1201","味全","1.26","111","44.19","1.34","112/2",
"1203","味王","2.63","111","16.18","1.81","112/2",
"1210","大成","2.79","111","15.37","2.12","112/2",
"1213","大飲","0.00","111","-","1.16","112/2",
"1215","卜蜂","3.61","111","16.20","3.37","112/2",
"1216","統一","4.39","111","21.15","3.45","112/2",
"1217","愛之味","3.04","111","19.63","0.95","112/2",
"1218","泰山","2.43","111","2.20","0.96","112/2",
"1219","福壽","4.02","111","52.37","1.47","112/2",
"1220","台榮","1.41","111","109.23","1.13","112/2",
"1225","福懋油","3.60","111","99.29","3.74","112/2",
"1227","佳格","3.40","111","29.42","2.06","112/2",
"1229","聯華","3.35","111","24.67","2.24","112/2",
"1231","聯華食","3.11","111","22.68","3.67","112/2",
"1232","大統益","4.17","111","23.57","4.80","112/2",
"1233","天仁","2.36","111","35.29","2.27","112/2",
"1234","黑松","4.75","111","15.60","0.85","112/2",
"1235","興泰","2.64","111","20.34","1.76","112/2",
"1236","宏亞","4.67","111","93.04","0.91","112/2",
"1256","鮮活果汁-KY","2.41","111","16.85","2.55","112/2",
"1301","台塑","5.27","111","265.67","1.48","112/2",
"1303","南亞","4.56","111","115.44","1.48","112/2",
"1304","台聚","3.40","111","36.79","0.94","112/2",
"1305","華夏","1.30","111","-","1.41","112/2",
"1307","三芳","3.38","111","17.14","1.10","112/2",
"1308","亞聚","5.05","111","16.49","1.04","112/2",
"1309","台達化","2.95","111","-","0.98","112/2",
"1310","台苯","1.29","111","-","1.31","112/2",
"1312","國喬","3.03","111","-","0.49","112/2",
"1313","聯成","1.32","111","-","0.72","112/2",
"1314","中石化","0.00","111","-","0.45","112/2",
"1315","達新","8.29","111","8.83","0.63","112/2",
"1316","上曜","6.54","111","178.33","0.90","112/2",
"1319","東陽","4.07","111","15.89","1.54","112/2",
"1321","大洋","0.00","111","64.62","1.32","112/2",
"1323","永裕","3.46","111","18.28","1.22","112/2",
"1324","地球","1.70","111","36.72","0.93","112/2",
"1325","恆大","2.23","111","65.88","0.69","112/2",
"1326","台化","1.57","111","-","1.08","112/2",
"1337","再生-KY","0.00","111","-","0.43","112/2",
"1338","廣華-KY","5.74","111","-","0.45","112/1",
"1339","昭輝","6.50","111","10.08","0.93","112/2",
"1340","勝悅-KY","0.00","111","-","0.41","112/1",
"1341","富林-KY","9.07","111","12.83","2.80","112/2",
"1342","八貫","4.95","111","14.90","3.95","112/2",
"1402","遠東新","4.76","111","25.09","0.71","112/2",
"1409","新纖","6.10","111","19.29","0.75","112/2",
"1410","南染","2.11","111","52.05","2.24","112/2",
"1413","宏洲","0.00","111","-","0.96","112/2",
"1414","東和","1.82","111","88.00","1.25","112/2",
"1416","廣豐","4.90","111","30.00","0.52","112/2",
"1417","嘉裕","2.87","111","21.15","0.93","112/2",
"1418","東華","0.00","111","49.09","1.00","112/2",
"1419","新紡","3.53","111","20.43","1.07","112/2",
"1423","利華","0.85","111","53.75","1.07","112/2",
"1432","大魯閣","0.00","111","24.55","1.88","112/2",
"1434","福懋","5.86","111","31.60","0.78","112/2",
"1436","華友聯","8.02","111","11.78","2.28","112/2",
"1437","勤益控","2.85","111","11.79","0.78","112/2",
"1438","三地開發","3.33","111","-","1.43","112/2",
"1439","雋揚","1.31","111","14.55","0.87","112/2",
"1440","南紡","2.36","111","-","0.91","112/2",
"1442","名軒","4.73","111","16.33","2.18","112/2",
"1443","立益物流","0.00","111","23.31","2.07","112/2",
"1444","力麗","3.90","111","-","0.89","112/2",
"1445","大宇","0.49","111","40.50","1.53","112/2",
"1446","宏和","0.53","111","-","3.75","112/2",
"1447","力鵬","0.00","111","-","0.68","112/2",
"1449","佳和","1.71","111","70.20","0.87","112/2",
"1451","年興","10.55","111","-","0.55","112/2",
"1452","宏益","4.83","111","78.81","0.84","112/2",
"1453","大將","2.21","111","113.33","1.02","112/2",
"1454","台富","1.42","111","80.23","1.35","112/2",
"1455","集盛","1.07","111","-","0.78","112/2",
"1456","怡華","0.00","111","24.55","0.95","112/2",
"1457","宜進","5.71","111","134.62","0.80","112/2",
"1459","聯發","0.00","111","-","1.06","112/2",
"1460","宏遠","0.00","111","22.03","0.76","112/2",
"1463","強盛","2.63","111","19.00","1.14","112/2",
"1464","得力","7.38","111","31.51","1.03","112/2",
"1465","偉全","6.34","111","15.95","0.85","112/2",
"1466","聚隆","0.00","111","-","0.84","112/2",
"1467","南緯","0.00","111","-","1.00","112/2",
"1468","昶和","0.00","111","255.00","1.70","112/2",
"1470","大統新創","2.28","111","30.31","1.72","112/2",
"1471","首利","0.00","111","-","1.91","112/2",
"1472","三洋實業","0.00","111","46.08","1.39","112/2",
"1473","台南","4.15","111","13.17","0.99","112/2",
"1474","弘裕","3.45","111","-","0.76","112/2",
"1475","業旺","0.96","111","11.40","3.03","112/2",
"1476","儒鴻","3.46","111","26.03","5.92","112/2",
"1477","聚陽","4.33","111","22.23","5.92","112/2",
"1503","士電","1.51","111","31.10","2.14","112/2",
"1504","東元","2.94","111","18.45","1.31","112/2",
"1506","正道","0.00","111","47.03","1.95","112/2",
"1512","瑞利","0.00","111","-","3.57","112/2",
"1513","中興電","2.88","111","41.07","3.80","112/2",
"1514","亞力","2.39","111","24.12","3.31","112/2",
"1515","力山","0.00","111","-","1.85","112/2",
"1516","川飛","7.26","111","17.35","1.39","112/2",
"1517","利奇","5.71","111","14.72","0.93","112/2",
"1519","華城","0.89","111","53.74","17.22","112/2",
"1521","大億","2.04","111","31.76","1.47","112/2",
"1522","堤維西","5.87","111","11.52","1.22","112/2",
"1524","耿鼎","4.77","111","11.97","1.39","112/2",
"1525","江申","2.59","111","15.10","1.30","112/2",
"1526","日馳","9.52","111","8.69","1.52","112/2",
"1527","鑽全","6.19","111","10.72","1.19","112/2",
"1528","恩德","0.80","111","23.49","0.98","112/2",
"1529","樂事綠能","1.58","111","32.31","2.84","112/2",
"1530","亞崴","5.36","111","13.57","0.92","112/2",
"1531","高林股","5.67","111","705.00","0.73","112/2",
"1532","勤美","3.40","111","19.92","1.07","112/2",
"1533","車王電","0.00","111","-","2.12","112/2",
"1535","中宇","5.74","111","13.80","1.90","112/2",
"1536","和大","2.49","111","25.28","2.06","112/2",
"1537","廣隆","7.52","111","16.81","2.83","112/2",
"1538","正峰","0.00","111","490.00","3.03","112/2",
"1539","巨庭","8.98","111","15.47","1.18","112/2",
"1540","喬福","3.32","111","14.56","1.12","112/2",
"1541","錩泰","3.26","111","-","1.34","112/2",
"1558","伸興","5.70","111","26.73","1.22","112/2",
"1560","中砂","3.13","111","19.51","3.29","112/2",
"1568","倉佑","4.52","111","15.71","1.55","112/2",
"1582","信錦","5.09","111","18.35","1.38","112/2",
"1583","程泰","4.67","111","11.71","1.40","112/2",
"1587","吉茂","4.16","111","18.94","1.22","112/2",
"1589","永冠-KY","0.00","111","-","0.68","112/1",
"1590","亞德客-KY","1.48","111","29.17","4.58","112/2",
"1597","直得","3.14","111","21.02","2.38","112/2",
"1598","岱宇","1.58","111","-","1.09","112/2",
"1603","華電","1.36","111","14.49","0.96","112/2",
"1604","聲寶","5.51","111","14.17","1.26","112/2",
"1605","華新","4.97","111","11.09","1.04","112/2",
"1608","華榮","1.99","111","11.10","1.17","112/2",
"1609","大亞","1.62","111","8.56","1.91","112/2",
"1611","中電","1.75","111","50.44","1.30","112/2",
"1612","宏泰","6.32","111","13.81","1.06","112/2",
"1614","三洋電","2.54","111","32.69","1.86","112/2",
"1615","大山","6.25","111","14.08","2.29","112/2",
"1616","億泰","0.00","111","21.84","1.17","112/2",
"1617","榮星","1.87","111","61.73","1.22","112/2",
"1618","合機","2.47","111","18.00","1.03","112/2",
"1626","艾美特-KY","5.78","111","-","0.79","112/2",
"1701","中化","3.49","111","17.65","0.92","112/2",
"1702","南僑","4.19","111","20.21","1.32","112/2",
"1707","葡萄王","4.51","111","15.60","2.48","112/2",
"1708","東鹼","9.32","111","32.86","1.29","112/2",
"1709","和益","8.22","111","16.85","1.32","112/2",
"1710","東聯","1.01","111","20.52","1.40","112/2",
"1711","永光","1.82","111","56.47","1.25","112/2",
"1712","興農","7.89","111","10.96","1.86","112/2",
"1713","國化","3.09","111","12.99","1.84","112/2",
"1714","和桐","1.19","111","19.11","0.69","112/2",
"1717","長興","4.19","111","25.35","1.46","112/2",
"1718","中纖","0.00","111","-","0.49","112/2",
"1720","生達","3.99","111","12.98","2.33","112/2",
"1721","三晃","0.77","111","-","1.07","112/2",
"1722","台肥","3.99","111","14.55","1.14","112/2",
"1723","中碳","4.50","111","16.02","3.37","112/2",
"1725","元禎","4.96","111","14.60","0.85","112/2",
"1726","永記","4.79","111","14.93","1.26","112/2",
"1727","中華化","2.52","111","34.06","1.75","112/2",
"1730","花仙子","5.17","111","15.43","2.12","112/2",
"1731","美吾華","5.21","111","16.75","1.42","112/2",
"1732","毛寶","0.00","111","-","2.14","112/2",
"1733","五鼎","5.35","111","15.38","1.50","112/2",
"1734","杏輝","3.09","111","20.25","1.85","112/2",
"1735","日勝化","2.99","111","34.90","1.14","112/2",
"1736","喬山","0.81","111","50.48","2.52","112/2",
"1737","臺鹽","4.41","111","17.11","1.07","112/2",
"1752","南光","4.34","111","12.65","2.26","112/2",
"1760","寶齡富錦","1.98","111","404.00","4.62","112/2",
"1762","中化生","2.08","111","12.12","1.46","112/2",
"1773","勝一","2.77","111","19.85","4.12","112/2",
"1776","展宇","3.63","111","413.75","1.20","112/2",
"1783","和康生","1.81","111","24.36","3.56","112/2",
"1786","科妍","2.46","111","33.87","3.57","112/2",
"1789","神隆","1.34","111","81.36","2.09","112/2",
"1795","美時","1.39","111","13.88","4.24","112/2",
"1802","台玻","0.00","111","-","1.15","112/2",
"1805","寶徠","0.00","111","-","2.12","112/2",
"1806","冠軍","0.00","111","-","0.66","112/2",
"1808","潤隆","0.73","111","16.02","4.65","112/2",
"1809","中釉","1.78","111","-","0.81","112/2",
"1810","和成","1.01","111","995.00","0.92","112/2",
"1817","凱撒衛","6.39","111","10.78","1.35","112/2",
"1903","士紙","0.00","111","66.59","3.30","112/2",
"1904","正隆","3.95","111","35.71","1.11","112/2",
"1905","華紙","1.31","111","-","1.66","112/2",
"1906","寶隆","3.24","111","37.68","0.46","112/2",
"1907","永豐餘","3.01","111","31.20","0.92","112/2",
"1909","榮成","1.72","111","-","0.86","112/2",
"2002","中鋼","3.77","111","-","1.32","112/2",
"2006","東和鋼鐵","6.03","111","11.79","1.48","112/2",
"2007","燁興","0.00","111","-","0.80","112/2",
"2008","高興昌","2.68","111","8.05","1.19","112/2",
"2009","第一銅","1.35","111","73.88","1.68","112/2",
"2010","春源","3.57","111","18.06","0.97","112/2",
"2012","春雨","6.21","111","20.82","1.61","112/2",
"2013","中鋼構","3.04","111","23.24","2.18","112/2",
"2014","中鴻","1.55","111","-","1.94","112/2",
"2015","豐興","5.90","111","15.80","1.89","112/2",
"2017","官田鋼","5.61","111","-","1.01","112/2",
"2020","美亞","3.94","111","16.08","1.71","112/2",
"2023","燁輝","1.99","111","-","0.96","112/2",
"2024","志聯","2.22","111","-","1.37","112/2",
"2025","千興","0.00","111","1.91","0.88","112/2",
"2027","大成鋼","12.24","111","10.93","1.03","112/2",
"2028","威致","5.51","111","16.62","1.69","112/2",
"2029","盛餘","4.41","111","54.30","0.78","112/2",
"2030","彰源","8.29","111","64.64","1.05","112/2",
"2031","新光鋼","2.21","111","16.12","1.44","112/2",
"2032","新鋼","1.21","111","-","1.30","112/2",
"2033","佳大","0.00","111","-","1.13","112/2",
"2034","允強","5.58","111","538.00","1.37","112/2",
"2038","海光","2.70","111","21.26","0.90","112/2",
"2049","上銀","2.76","111","23.86","2.07","112/2",
"2059","川湖","2.16","111","26.56","5.92","112/2",
"2062","橋椿","4.59","111","13.63","0.62","112/2",
"2069","運錩","6.02","111","-","0.73","112/2",
"2101","南港","0.00","111","-","3.13","112/2",
"2102","泰豐","0.00","111","-","2.47","112/2",
"2103","台橡","4.67","111","28.23","1.04","112/2",
"2104","國際中橡","0.51","111","151.54","0.55","112/2",
"2105","正新","3.70","111","20.13","1.51","112/2",
"2106","建大","3.40","111","-","1.42","112/2",
"2107","厚生","5.61","111","11.32","0.60","112/2",
"2108","南帝","5.59","111","26.68","1.27","112/2",
"2109","華豐","6.36","111","11.79","1.20","112/2",
"2114","鑫永銓","5.04","111","17.33","2.73","112/2",
"2115","六暉-KY","4.28","111","12.41","1.01","112/2",
"2201","裕隆","1.25","111","-","1.46","112/2",
"2204","中華","4.74","111","-","1.45","112/2",
"2206","三陽工業","2.51","111","11.18","2.82","112/2",
"2207","和泰車","0.32","111","-","6.95","112/2",
"2208","台船","0.00","111","-","2.98","112/2",
"2211","長榮鋼","7.41","111","8.30","1.17","112/2",
"2227","裕日車","3.78","111","30.27","3.33","112/2",
"2228","劍麟","4.62","111","13.21","1.63","112/2",
"2231","為升","1.94","111","29.45","4.75","112/2",
"2233","宇隆","6.07","111","11.80","1.83","112/2",
"2236","百達-KY","0.41","111","30.82","2.62","112/1",
"2239","英利-KY","0.72","111","53.78","0.69","112/1",
"2241","艾姆勒","0.00","111","-","2.57","112/2",
"2243","宏旭-KY","0.00","111","-","1.30","112/1",
"2247","汎德永業","4.81","111","14.78","2.10","112/2",
"2250","IKKA-KY","4.26","111","30.00","1.31","112/2",
"2301","光寶科","2.97","111","23.86","4.31","112/2",
"2302","麗正","4.53","111","21.79","1.69","112/2",
"2303","聯電","8.12","111","7.12","1.70","112/2",
"2305","全友","0.00","111","-","1.86","112/2",
"2308","台達電","2.76","111","27.25","5.23","112/2",
"2312","金寶","1.81","111","30.74","1.29","112/2",
"2313","華通","6.18","111","9.24","1.45","112/2",
"2314","台揚","0.00","111","-","4.97","112/2",
"2316","楠梓電","1.43","111","33.65","0.81","112/2",
"2317","鴻海","4.84","111","12.18","1.09","112/2",
"2321","東訊","0.00","111","-","2.14","112/2",
"2323","中環","0.00","111","8.54","0.77","112/2",
"2324","仁寶","3.53","111","22.48","1.28","112/2",
"2327","國巨","2.12","111","10.70","1.55","112/2",
"2328","廣宇","3.58","111","13.91","1.58","112/2",
"2329","華泰","1.85","111","24.92","3.40","112/2",
"2330","台積電","1.95","111","15.15","4.59","112/2",
"2331","精英","2.27","111","24.62","1.71","112/2",
"2332","友訊","0.86","111","18.86","1.67","112/2",
"2337","旺宏","5.78","111","20.49","1.17","112/2",
"2338","光罩","3.58","111","9.33","3.08","112/2",
"2340","台亞","2.07","111","77.82","2.56","112/2",
"2342","茂矽","5.71","111","26.72","2.23","112/2",
"2344","華邦電","3.81","111","41.02","1.18","112/2",
"2345","智邦","1.46","111","31.55","13.98","112/2",
"2347","聯強","5.92","111","6.91","1.54","112/2",
"2348","海悅","7.35","111","11.79","1.76","112/2",
"2349","錸德","0.00","111","-","1.03","112/2",
"2351","順德","3.23","111","21.66","2.80","112/2",
"2352","佳世達","4.39","111","11.08","2.21","112/2",
"2353","宏碁","3.95","111","38.78","1.62","112/2",
"2354","鴻準","2.88","111","17.40","0.79","112/2",
"2355","敬鵬","2.32","111","25.07","0.94","112/2",
"2356","英業達","2.56","111","38.81","3.68","112/2",
"2357","華碩","3.50","111","97.27","1.45","112/2",
"2358","廷鑫","0.00","111","-","0.74","112/2",
"2359","所羅門","3.66","111","12.62","1.40","112/2",
"2360","致茂","2.71","111","27.49","6.27","112/2",
"2362","藍天","4.72","111","23.21","0.46","112/2",
"2363","矽統","2.92","111","44.55","1.44","112/2",
"2364","倫飛","3.22","111","17.78","4.74","112/2",
"2365","昆盈","1.79","111","32.79","0.83","112/2",
"2367","燿華","1.76","111","39.53","1.13","112/2",
"2368","金像電","1.62","111","29.74","7.69","112/2",
"2369","菱生","1.71","111","-","1.19","112/2",
"2371","大同","0.00","111","12.53","2.23","112/2",
"2373","震旦行","6.20","111","12.27","2.54","112/2",
"2374","佳能","1.97","111","55.85","1.07","112/2",
"2375","凱美","2.44","111","17.72","0.76","112/2",
"2376","技嘉","1.75","111","51.08","6.64","112/2",
"2377","微星","3.82","111","22.15","3.11","112/2",
"2379","瑞昱","6.35","111","20.32","5.76","112/2",
"2380","虹光","0.00","111","-","1.90","112/2",
"2382","廣達","2.29","111","29.04","6.13","112/2",
"2383","台光電","1.89","111","35.71","7.30","112/2",
"2385","群光","7.25","111","10.54","2.20","112/2",
"2387","精元","7.83","111","5.78","1.01","112/2",
"2388","威盛","0.13","111","246.74","4.35","112/2",
"2390","云辰","0.00","111","-","0.89","112/2",
"2392","正崴","5.11","111","18.09","0.90","112/2",
"2393","億光","5.39","111","15.82","1.15","112/2",
"2395","研華","3.14","111","23.28","6.37","112/2",
"2397","友通","5.84","111","14.21","2.58","112/2",
"2399","映泰","0.00","111","133.68","1.97","112/2",
"2401","凌陽","1.93","111","-","2.09","112/2",
"2402","毅嘉","2.62","111","29.34","1.93","112/2",
"2404","漢唐","6.86","111","8.26","4.07","112/2",
"2405","輔信","1.34","111","298.00","1.39","112/2",
"2406","國碩","0.00","111","-","1.31","112/2",
"2408","南亞科","3.26","111","-","1.17","112/2",
"2409","友達","4.47","111","-","0.84","112/2",
"2412","中華電","4.00","111","24.43","2.50","112/2",
"2413","環科","1.81","111","14.25","1.75","112/2",
"2414","精技","7.61","111","12.59","1.86","112/2",
"2415","錩新","1.98","111","-","1.88","112/2",
"2417","圓剛","0.96","111","-","0.96","112/2",
"2419","仲琦","3.70","111","42.63","2.62","112/2",
"2420","新巨","7.80","111","10.97","2.01","112/2",
"2421","建準","1.80","111","26.96","6.62","112/2",
"2423","固緯","5.89","111","12.48","1.97","112/2",
"2424","隴華","0.00","111","-","7.08","112/2",
"2425","承啟","1.52","111","20.75","2.48","112/2",
"2426","鼎元","0.00","111","-","1.36","112/2",
"2427","三商電","1.55","111","20.69","1.65","112/2",
"2428","興勤","3.52","111","16.65","2.29","112/2",
"2429","銘旺科","0.00","111","-","3.49","112/2",
"2430","燦坤","10.30","111","11.36","1.03","112/2",
"2431","聯昌","0.95","111","-","0.84","112/2",
"2432","倚天酷碁-創","3.75","111","22.56","2.52","112/2",
"2433","互盛電","7.06","111","13.28","2.03","112/2",
"2434","統懋","0.00","111","-","2.39","112/2",
"2436","偉詮電","1.99","111","116.15","3.41","112/2",
"2438","翔耀","0.00","111","-","2.43","112/2",
"2439","美律","4.93","111","14.40","1.70","112/2",
"2440","太空梭","0.00","111","-","1.58","112/2",
"2441","超豐","6.20","111","18.37","1.69","112/2",
"2442","新美齊","0.90","111","28.71","1.18","112/2",
"2443","昶虹","0.00","111","2.58","0.99","112/2",
"2444","兆勁","0.00","111","25.31","1.32","112/2",
"2449","京元電子","4.46","111","16.74","2.73","112/2",
"2450","神腦","6.10","111","12.69","1.52","112/2",
"2451","創見","7.83","111","26.38","1.72","112/2",
"2453","凌群","4.31","111","18.41","2.59","112/2",
"2454","聯發科","11.00","111","13.37","3.02","112/2",
"2455","全新","1.81","111","90.07","8.46","112/2",
"2457","飛宏","0.00","111","106.15","4.06","112/2",
"2458","義隆","5.29","111","24.07","4.14","112/2",
"2459","敦吉","6.54","111","10.74","1.24","112/2",
"2460","建通","0.00","111","-","2.05","112/2",
"2461","光群雷","7.86","111","17.03","1.33","112/2",
"2462","良得電","1.53","111","20.55","2.06","112/2",
"2464","盟立","4.68","111","39.64","1.89","112/2",
"2465","麗臺","0.00","111","-","5.74","112/2",
"2466","冠西電","0.52","111","1,208.33","3.25","112/2",
"2467","志聖","8.06","111","12.27","2.30","112/2",
"2468","華經","2.05","111","28.91","1.71","112/2",
"2471","資通","5.65","111","13.18","2.86","112/2",
"2472","立隆電","6.44","111","9.09","1.37","112/2",
"2474","可成","5.95","111","10.68","0.72","112/2",
"2476","鉅祥","5.01","111","11.66","1.57","112/2",
"2477","美隆電","4.02","111","39.02","0.81","112/2",
"2478","大毅","4.54","111","15.81","1.01","112/2",
"2480","敦陽科","5.47","111","15.51","4.24","112/2",
"2481","強茂","4.79","111","23.71","1.85","112/2",
"2482","連宇","2.99","111","12.72","3.20","112/2",
"2483","百容","4.15","111","33.47","1.04","112/2",
"2484","希華","6.43","111","10.46","1.43","112/2",
"2485","兆赫","0.00","111","96.54","1.30","112/2",
"2486","一詮","0.82","111","78.63","2.67","112/2",
"2488","漢平","6.70","111","9.01","1.33","112/2",
"2489","瑞軒","0.00","111","10.34","0.70","112/2",
"2491","吉祥全","0.00","111","-","1.41","112/2",
"2492","華新科","2.52","111","40.42","1.03","112/2",
"2493","揚博","5.95","111","11.85","2.91","112/2",
"2495","普安","2.96","111","23.07","1.37","112/2",
"2496","卓越","6.41","111","11.15","1.25","112/2",
"2497","怡利電","1.13","111","25.82","3.72","112/2",
"2498","宏達電","0.00","111","-","1.69","112/2",
"2501","國建","3.36","111","8.28","0.70","112/2",
"2504","國產","7.52","111","10.60","1.38","112/2",
"2505","國揚","0.00","111","38.37","0.72","112/2",
"2506","太設","3.31","111","-","0.45","112/2",
"2509","全坤建","0.00","111","-","0.80","112/2",
"2511","太子","4.55","111","20.00","0.70","112/2",
"2514","龍邦","0.00","111","12.26","0.53","112/2",
"2515","中工","5.33","111","24.85","0.69","112/2",
"2516","新建","0.00","111","-","1.12","112/2",
"2520","冠德","5.59","111","9.78","0.93","112/2",
"2524","京城","0.00","111","16.51","0.66","112/2",
"2527","宏璟","4.44","111","60.81","0.61","112/2",
"2528","皇普","1.77","111","28.48","2.03","112/2",
"2530","華建","1.64","111","55.56","2.12","112/2",
"2534","宏盛","8.97","111","5.69","0.64","112/2",
"2535","達欣工","7.58","111","8.75","1.18","112/2",
"2536","宏普","2.00","111","-","0.74","112/2",
"2537","聯上發","0.00","111","-","0.54","112/2",
"2538","基泰","3.46","111","8.98","1.01","112/2",
"2539","櫻花建","4.43","111","25.90","2.89","112/2",
"2540","愛山林","4.26","111","35.07","3.46","112/2",
"2542","興富發","3.55","111","16.40","1.55","112/2",
"2543","皇昌","2.74","111","17.38","0.98","112/2",
"2545","皇翔","11.89","111","45.00","1.21","112/2",
"2546","根基","6.13","111","6.65","2.02","112/2",
"2547","日勝生","0.00","111","-","0.72","112/2",
"2548","華固","8.40","111","14.52","1.32","112/2",
"2597","潤弘","9.85","111","9.97","3.80","112/2",
"2601","益航","0.00","111","-","0.68","112/2",
"2603","長榮","66.04","111","1.59","0.54","112/2",
"2605","新興","2.49","111","31.90","0.73","112/2",
"2606","裕民","6.56","111","11.27","1.19","112/2",
"2607","榮運","4.46","111","9.49","0.98","112/2",
"2608","嘉里大榮","4.50","111","9.91","1.44","112/2",
"2609","陽明","47.68","111","2.16","0.53","112/2",
"2610","華航","1.93","111","36.14","1.99","112/2",
"2611","志信","0.00","111","16.62","0.94","112/2",
"2612","中航","5.40","111","12.85","0.69","112/2",
"2613","中櫃","5.06","111","51.88","0.92","112/2",
"2615","萬海","10.87","111","7.23","0.62","112/2",
"2616","山隆","5.22","111","28.92","0.83","112/2",
"2617","台航","7.71","111","11.70","0.78","112/2",
"2618","長榮航","2.40","111","14.42","1.89","112/2",
"2630","亞航","1.08","111","-","2.78","112/2",
"2633","台灣高鐵","2.26","111","24.87","2.48","112/2",
"2634","漢翔","1.76","111","27.29","3.58","112/2",
"2636","台驊投控","13.85","111","7.66","1.18","112/2",
"2637","慧洋-KY","14.91","111","4.20","0.70","112/1",
"2642","宅配通","3.70","111","33.79","1.67","112/2",
"2645","長榮航太","3.25","111","27.09","3.79","112/2",
"2701","萬企","1.97","111","30.98","0.67","112/2",
"2702","華園","3.35","111","9.25","0.98","112/2",
"2704","國賓","0.91","111","11.28","0.89","112/2",
"2705","六福","0.00","111","-","0.68","112/2",
"2706","第一店","2.32","111","30.20","0.77","112/2",
"2707","晶華","4.04","111","22.39","7.29","112/2",
"2712","遠雄來","0.26","111","47.03","2.98","112/2",
"2722","夏都","2.11","111","35.50","3.23","112/2",
"2723","美食-KY","2.35","111","39.01","1.72","112/1",
"2727","王品","1.73","111","17.07","5.69","112/2",
"2731","雄獅","0.00","111","597.73","4.57","112/2",
"2739","寒舍","0.00","111","54.08","4.92","112/2",
"2748","雲品","1.77","111","26.26","2.90","112/2",
"2753","八方雲集","4.40","111","18.29","3.50","112/2",
"2801","彰銀","4.61","111","15.22","1.05","112/1",
"2809","京城銀","3.01","111","10.94","0.90","112/2",
"2812","台中銀","4.91","111","12.63","1.02","112/2",
"2816","旺旺保","0.00","111","-","0.90","112/1",
"2820","華票","3.42","111","17.59","0.85","112/1",
"2832","台產","4.34","111","9.94","0.80","112/1",
"2834","臺企銀","2.46","111","9.65","1.01","112/1",
"2836","高雄銀","0.00","111","17.43","0.88","112/1",
"2838","聯邦銀","4.11","111","13.27","0.87","112/1",
"2845","遠東銀","3.55","111","12.16","0.84","112/1",
"2849","安泰銀","2.89","111","-","0.84","112/1",
"2850","新產","4.50","111","9.45","1.13","112/1",
"2851","中再保","0.00","111","14.48","1.04","112/2",
"2852","第一保","4.50","111","9.30","0.61","112/1",
"2855","統一證","2.03","111","11.10","0.91","112/2",
"2867","三商壽","0.00","111","-","0.61","112/2",
"2880","華南金","2.85","111","15.22","1.46","112/1",
